"total_sales","address_line_1","city","state","zipcode"
4464.24,"P.O. Box 18146","Columbus","Montana",59019
4808.31,"2678 Kingston Rd.","New York City","New York",10022
3288.78,"5557 North Pendale Street","Callaway","Virginia",24067
3254.72,"660 Cider Corner","Carol Stream","Illinois",60158
3184.94,"345 Washington Causeway","Kunia","Hawaii",96759
5907.5,"2793 Furth Circle","Alton","Iowa",51003
4389.12,"7734 Strong St.","New York City","New York",10022
5036.16,"836 Burning Curve","Scio","Oregon",97374
2183.25,"5677 Strong St.","Rock Valley","Iowa",51247
3106.88,"P.O. Box 88316","Randall","Kansas",66963
3735.72,"248 Silent Quay","Phoenix","Arizona",85014
2413.26,"3675 Furth Circle","Fonda","Iowa",50553
2953.75,"330 Amber Peavey Throughway","Los Angeles","California",90095
4684.8,"681 Bright Gate Swale","Collinsville","Alabama",35961
3248.7,"333 Old Ranch Bend","Mckinleyville","California",95519
5239.5,"P.O. Box 97554","Winchester","Virginia",22604
4567.98,"13 Butterfly Skyway","Saratoga","Indiana",47382
3535.35,"663 Mission Expressway","Deridder","Louisiana",70634
3843.34,"5677 Strong St.","New York City","New York",10022
3710.9,"2304 Long Airport Avenue","Ruston","Louisiana",71270
4375.98,"84 Quiet Place","Whitewood","South Dakota",57793
1516.62,"8489 Strong St.","New York City","New York",10022
2509,"981 Iron Promenade","South Milford","Indiana",46786
9240.44,"7825 Douglas Av.","Fonda","Iowa",50553
2515.32,"676 Merry Lagoon","Aiken","South Carolina",29808
5548.9,"P.O. Box 11178","Dunlap","California",93621
4873.05,"7586 Pompton St.","Condon","Oregon",97823
2055.74,"2678 Kingston Rd.","New York City","New York",10022
2354.88,"5557 North Pendale Street","Alton","Iowa",51003
2309.58,"146 Cinder Causeway","Lufkin","Texas",75901
2113.37,"505 Gentle Tunnel","Momence","Illinois",60954
1746.6,"2793 Furth Circle","Hansboro","North Dakota",58339
2304.45,"7734 Strong St.","Hansboro","North Dakota",58339
2122.08,"204 NW First","Pendroy","Montana",59467
1742.4,"5677 Strong St.","New York City","New York",10022
2455.02,"358 Fourth Narrow","Mooresville","Alabama",35649
3053.28,"737 Fallen Camp","Fredericksburg","Virginia",22401
1423.29,"3675 Furth Circle","New York City","New York",10022
1504.12,"620 Merry Camp","Grand Chenier","Louisiana",70643
1164.4,"952 Silent Plain","New Raymer","Colorado",80742
1500.75,"296 Fallen Bend","Lowmansville","Kentucky",41232
1557.36,"877 Cinder End","New Raymer","Colorado",80742
1345.68,"104 Kennedy Cove","Troutville","Pennsylvania",15866
1795.24,"73 Easy Lawn","Williams Bay","Wisconsin",53191
1105.25,"5677 Strong St.","New York City","New York",10022
2364.88,"2304 Long Airport Avenue","Half Moon Bay","California",94019
2427.03,"752 Branch Mill","Knowles","Oklahoma",73847
1237.95,"P.O. Box 64922","Daytona Beach","Florida",32116
1593.02,"819 Misty Leaf Isle","Dryden","Texas",78851
3156.16,"7825 Douglas Av.","Hansboro","North Dakota",58339
1320.75,"7734 Strong St.","Hansboro","North Dakota",58339
4998,"835 Hidden Mill","Sidney","New York",13838
1293.75,"7586 Pompton St.","Hansboro","North Dakota",58339
5433.08,"946 Cinder Panda Pass","Stow","New York",14785
3073.72,"485 Cotton Bypass","Lindon","Colorado",80740
4380.2,"46 SE Causeway","Elko","South Carolina",29826
5848.68,"574 Fallen Treasure","Corry","Pennsylvania",16407
6153.73,"85 Iron Fourth Estate","Natchez","Mississippi",39122
4965.24,"25593 South Bay Ln.","Hansboro","North Dakota",58339
5435.64,"383 Burning Main Plaza","Ulm","Montana",59485
4258.36,"2304 Long Airport Avenue","Ruston","Louisiana",71270
4032,"4092 Furth Circle","New York City","New York",10022
4492.36,"P.O. Box 54477","Early","Texas",76802
4161.38,"361 Furth Circle","Fonda","Iowa",50553
2508.66,"20 Bear Square","Pinehurst","North Carolina",28374
3374.88,"794 Pleasant Elk","Lexington","Kentucky",40575
5196.6,"P.O. Box 85596","Little Creek","Delaware",19961
2604.52,"8489 Strong St.","Ruston","Louisiana",71270
2936.8,"P.O. Box 17483","Orlando","Florida",32821
3424.64,"161 Misty Perkins Promenade","Lubbock","Texas",79406
2923.2,"P.O. Box 23825","Planada","California",95365
4489.76,"1785 First Street","Los Angeles","California",90003
4849.24,"11328 Douglas Av.","New York City","New York",10022
5848.92,"943 Emerald Gateway","Alice","Texas",78333
2758.7,"78934 Hillside Dr.","Alton","Iowa",51003
1449.76,"P.O. Box 57147","Covington","Kentucky",41014
7048.14,"3086 Ingle Ln.","Hansboro","North Dakota",58339
5202.94,"901 S Valley","Washington","District of Columbia",20064
5279.4,"128 Forest Place","Harwick","Pennsylvania",15049
6916.12,"792 Silver Beach","Bullhead City","Arizona",86430
2781.66,"2440 Pompton St.","New York City","New York",10022
5248,"4575 Hillside Dr.","Hansboro","North Dakota",58339
6531.44,"132 Rabbit Lawn","Oak Hill","New York",12460
5763.72,"195 Creek Alley","Kansas City","Missouri",64133
6490.68,"2 Little Motorway","Walston","Pennsylvania",15781
6004.8,"460 E Spur Run","Hilger","Montana",59451
7483.98,"P.O. Box 78120","Lake Lillian","Minnesota",56253
5719.5,"514 SE Shadow Dell","Washington","District of Columbia",20436
6954.08,"361 Furth Circle","Fonda","Iowa",50553
8160.3,"3086 Ingle Ln.","Rock Valley","Iowa",51247
6567.96,"617 Smith Turnpike","East Saint Louis","Illinois",62205
6724,"7825 Douglas Av.","Ruston","Louisiana",71270
5747.85,"203 Quaking Essex Drive","Boulevard","California",91905
5676.84,"985 NW Second","Shelter Island Heights","New York",11965
7379.97,"782 First Street","New York City","New York",10022
3704.13,"274 Silver Tunnel","Minnesota Lake","Minnesota",56068
2804.75,"588 Honey Fox","Beaufort","South Carolina",29906
5624.79,"P.O. Box 97311","Ridgely","Maryland",21683
3881.28,"157 Umber Dell","Sparland","Illinois",61565
1611.4,"52 Misty Anchor Ridge","Star City","Indiana",46985
1364.25,"P.O. Box 71479","Danvers","Minnesota",56231
4215.09,"804 Grand Square","Oconto Falls","Wisconsin",54154
6433.82,"3086 Ingle Ln.","Fonda","Iowa",50553
4352.16,"P.O. Box 49101","Lindale","Texas",75771
5151,"2304 Long Airport Avenue","Condon","Oregon",97823
6069,"29 Blue Bayoo","Clarks Mills","Pennsylvania",16114
2856,"8489 Strong St.","Alton","Iowa",51003
5375.4,"2793 Furth Circle","New York City","New York",10022
5176.5,"7734 Strong St.","New York City","New York",10022
3508.8,"457 Pony Mews","Lake Hamilton","Florida",33851
7554.8,"5677 Strong St.","New York City","New York",10022
3141.6,"193 Pleasant Highway","Kalaupapa","Hawaii",96742
5890.5,"4092 Furth Circle","New York City","New York",10022
5967,"P.O. Box 49187","Borden","South Carolina",29017
3712.8,"529 Prairie Plaza","Upper Marlboro","Maryland",20772
7597.3,"463 SW Sixth Shore","Harpersfield","New York",13786
3668.6,"516 Wishing Lane","Los Angeles","California",90096
5875.2,"920 Hill Run","Canton","Ohio",44760
7310,"912 Fifth Curve","Quitman","Mississippi",39355
8078.4,"5677 Strong St.","New York City","New York",10022
3257.76,"11328 Douglas Av.","Los Angeles","California",90003
7650,"799 Little Embers","Athena","Oregon",97813
4703.81,"78934 Hillside Dr.","Fonda","Iowa",50553
5399.55,"323 Honey Washington","Rome","New York",13442
14082.8,"3086 Ingle Ln.","Fonda","Iowa",50553
5283.6,"640 Golden Lock Causeway","Lewis","Iowa",51544
3130.82,"P.O. Box 56486","Whitehead","North Carolina",28695
3112.34,"730 Butterfly Ridge","Bryant","Florida",33439
3806.88,"5677 Strong St.","New York City","New York",10022
2142.14,"7825 Douglas Av.","New York City","New York",10022
3364.9,"6047 Douglas Av.","Alton","Iowa",51003
1262.8,"600 Stony Elm","Ottawa","West Virginia",25149
1626.24,"318 Quaking Grove Row","Cotulla","Texas",78014
4088.7,"2304 Long Airport Avenue","Ruston","Louisiana",71270
3846.15,"183 Rise Chase","Viola","Tennessee",37394
1339.8,"743 Heather Pathway","Ashley","Indiana",46705
3039.96,"577 Harvest Elm","Newark","Missouri",63458
3400.32,"818 Grand Prairie Ridge","Daytona Beach","Florida",32128
1930.39,"225 Cinder Third","Summer Hill","Illinois",62372
2464.77,"P.O. Box 88871","Ocala","Florida",34470
2634.94,"8489 Strong St.","Alton","Iowa",51003
3625.16,"784 Eighth Approach","Newton","Texas",75966
3788.4,"223 Golden Chase","Marion","North Carolina",28752
1832.6,"178 Rocky Well Point","Mid Florida","Florida",32745
2905.98,"1785 First Street","Condon","Oregon",97823
2954.81,"897 Long Airport Avenue","Rock Valley","Iowa",51247
3599.75,"280 W Tunnel","Tampa","Florida",33646
3686.54,"353 Little Fifth","French Camp","California",95231
2100.56,"286 Middle Anchor","Austin","Texas",78721
3881.78,"517 Goose Woods","Tom Bean","Texas",75489
4509.12,"P.O. Box 22537","Lexington","Kentucky",40585
3273.27,"P.O. Box 44926","Coquille","Oregon",97423
4432.7,"11328 Douglas Av.","Ruston","Louisiana",71270
4100.99,"P.O. Box 78323","Leoti","Kansas",67861
5274.72,"195 Quaking Wintergreen","Spivey","Kansas",67142
4232,"190 Noble Woods","White Swan","Washington",98952
6145.44,"541 W Sky Shore","Columbus","Georgia",31917
4680.2,"174 Burning Beach","Sacramento","California",94283
3286.08,"617 Quiet Elm","Auberry","California",93602
7421.3,"2304 Long Airport Avenue","Half Moon Bay","California",94019
6432.64,"4092 Furth Circle","Condon","Oregon",97823
4840.87,"P.O. Box 59197","Orlando","Florida",32805
3892.08,"361 Furth Circle","New York City","New York",10022
5526.32,"556 Timber Station","Rantoul","Illinois",61868
4459.62,"534 Wishing Gate","Tulsa","Oklahoma",74183
6203.4,"P.O. Box 81440","Preemption","Illinois",61276
3754.05,"8489 Strong St.","Alton","Iowa",51003
3516.48,"186 W Fort","Fairfield","Illinois",62837
7488.04,"924 Ford Landing","Lexington","Kentucky",40512
3448.08,"574 Gentle Bayoo","Trevilians","Virginia",23170
3734,"1785 First Street","Hansboro","North Dakota",58339
974.1,"11328 Douglas Av.","New York City","New York",10022
3160.74,"840 Richmond Place","Gainesville","Georgia",30505
1746.63,"P.O. Box 99710","Fort Wayne","Indiana",46860
4207.84,"643 Crescent Trace","Coatsville","Missouri",63535
4352.76,"462 Umber Main","Pearisburg","Virginia",24134
1463.7,"5677 Strong St.","New York City","New York",10022
7169.28,"512 Bluff Motorway","Philadelphia","Pennsylvania",19146
4594.76,"96 Burning Goose","Harpersfield","New York",13786
3457.92,"111 View Radial","Melville","New York",11775
7381.16,"5905 Pompton St.","New York City","New York",10022
7146.9,"4092 Furth Circle","Los Angeles","California",90003
5938.53,"944 Lagoon Overpass","Washington","District of Columbia",20099
7110.91,"812 Cliff Bypass","Albion","Pennsylvania",16401
5032.95,"483 Pleasant Lawn","Ithaca","New York",14851
3667.6,"705 Stony Flat","Rosedale","Mississippi",38769
7381.16,"221 Colonial Horse","Columbus","Georgia",31904
5128.11,"3758 North Pendale Street","New York City","New York",10022
7060.24,"6251 Ingle Ln.","New York City","New York",10022
8448.64,"2793 Furth Circle","Fonda","Iowa",50553
7300.51,"558 Harvest Lodge","Murrieta","California",92562
6549.2,"P.O. Box 15384","Staten Island","New York",10304
5697.9,"812 Shady Fillmore Crest","Washington","District of Columbia",20546
9169,"5677 Strong St.","Los Angeles","California",90003
3238.63,"5677 Strong St.","New York City","New York",10022
4554.94,"897 Long Airport Avenue","New York City","New York",10022
3934.44,"39323 Spinnaker Dr.","Callaway","Virginia",24067
5776.26,"203 Misty Annex","Ostrander","Minnesota",55961
7207.45,"2678 Kingston Rd.","Alton","Iowa",51003
7460.74,"268 Hickory Track","Teigen","Montana",59084
6719.54,"4092 Furth Circle","New York City","New York",10022
2428,"258 Hazy Radial","Williamson","Iowa",50272
2602.25,"5677 Strong St.","Rock Valley","Iowa",51247
2200,"5677 Strong St.","New York City","New York",10022
6712.93,"P.O. Box 77934","Crab Orchard","West Virginia",25827
5318.04,"137 Noble Oak","Mound Bayou","Mississippi",38762
3390,"2304 Long Airport Avenue","New York City","New York",10022
1608,"332 Shady Shadow Crossing","Edmond","Oklahoma",73003
2262.96,"8489 Strong St.","New York City","New York",10022
1496.64,"2793 Furth Circle","Los Angeles","California",90003
1879.74,"7734 Strong St.","New York City","New York",10022
1495.26,"964 Shady Crescent","Columbia","South Carolina",29226
2323.7,"5677 Strong St.","Half Moon Bay","California",94019
2491.86,"748 Little Ranch","Pamplin","Virginia",23958
1643.12,"4092 Furth Circle","Rock Valley","Iowa",51247
1322.16,"740 SE Camp Glade","Craig","Colorado",81626
1423.8,"328 NW Lane","London","Kentucky",40743
2397.45,"476 Zephyr Radial","Pickett","Wisconsin",54964
1574,"P.O. Box 23232","Charleston","West Virginia",25361
1729,"P.O. Box 30142","Jacksonville","Florida",32231
2255.84,"855 Summit Meadow","Newington","Virginia",22122
1834.5,"5677 Strong St.","New York City","New York",10022
3201.5,"117 Apple Parade","Portland","Oregon",97293
2276.4,"517 Robin Heights","Mc Neil","Arkansas",71752
8884.8,"78934 Hillside Dr.","New York City","New York",10022
1331.1,"720 Blue Peavey Causeway","New Orleans","Louisiana",70178
3051.3,"3086 Ingle Ln.","Fonda","Iowa",50553
2288.52,"316 Honey Landing","Lebanon","Virginia",24266
3772.61,"195 Foggy Canyon","Medina","Texas",78055
4164.42,"45 Red Woods","San Marcos","Texas",78667
6295.95,"4092 Furth Circle","Los Angeles","California",90003
6287.66,"P.O. Box 28268","Corpus Christi","Texas",78463
5412.54,"321 Golden Key","Beaverville","Illinois",60912
5984.14,"P.O. Box 76655","Ironton","Ohio",45638
5891.04,"84 Little Cider Ramp","Universal City","Texas",78148
5984.14,"336 Merry Main","Good Hope","Georgia",30641
3608.15,"3758 North Pendale Street","Los Angeles","California",90003
5752.54,"6251 Ingle Ln.","Callaway","Virginia",24067
3765.32,"5677 Strong St.","Half Moon Bay","California",94019
2159.96,"500 Little Shadow Port","Pray","Montana",59065
3379.94,"994 Crystal Ironwood Jetty","Terre Haute","Indiana",47802
5093.5,"5677 Strong St.","Alton","Iowa",51003
5773.44,"7586 Pompton St.","Los Angeles","California",90003
4528.86,"897 Long Airport Avenue","New York City","New York",10022
4816.08,"39323 Spinnaker Dr.","Los Angeles","California",90003
3416.78,"342 Shady Lock","Helmsburg","Indiana",47435
1236.84,"2678 Kingston Rd.","Ruston","Louisiana",71270
5814.86,"691 Timber Ramp","Payneville","Kentucky",40157
5223.48,"4092 Furth Circle","Rock Valley","Iowa",51247
728.4,"464 Lost Pathway","Brohman","Michigan",49312
3949,"99 Fallen Rose","Selma","Indiana",47383
3843.99,"850 Silver Fox Shore","Cowlesville","New York",14037
5498.08,"857 E Richmond Corner","Cheswick","Pennsylvania",15024
3777.58,"213 Well Path","Normal","Illinois",61761
3782,"282 Quiet Common Gardens","Mount Pleasant","Ohio",43939
3859.68,"513 Silver Rest","Park Falls","Wisconsin",54552
4431.84,"8489 Strong St.","Callaway","Virginia",24067
4950.33,"2793 Furth Circle","New York City","New York",10022
4299.7,"7734 Strong St.","Fonda","Iowa",50553
4492.83,"726 SE Valley","Commerce","Georgia",30530
2212,"5677 Strong St.","New York City","New York",10022
4642.88,"763 High Swale","Shreveport","Louisiana",71163
3206.32,"4092 Furth Circle","New York City","New York",10022
3604.23,"365 Pine Tunnel","Montague","Michigan",49437
7017.76,"984 Jagged Berry","Alexandria","Minnesota",56308
6154.18,"6251 Ingle Ln.","Alton","Iowa",51003
4750.8,"841 Grand Knoll","Keenesburg","Colorado",80643
3822.92,"P.O. Box 71000","Milwaukee","Wisconsin",53210
2440.8,"901 Honey Key","Truchas","New Mexico",87578
4729.36,"5677 Strong St.","Los Angeles","California",90003
12536.5,"2304 Long Airport Avenue","Alton","Iowa",51003
2264.15,"P.O. Box 96272","Des Moines","Iowa",50364
3928.2,"136 S Hill Key","Clinton","Iowa",52734
3630.22,"874 Quiet Chase","Springfield","Illinois",62709
4196.07,"78934 Hillside Dr.","Rock Valley","Iowa",51247
4931.6,"660 SW Essex","Eutawville","South Carolina",29048
3068.69,"5677 Strong St.","New York City","New York",10022
785.64,"320 Iron Ninth Narrow","Kansas City","Kansas",66103
4977,"547 Misty Sixth Radial","Pageton","West Virginia",24871
1189.98,"288 Bright Hickory","Clearwater","Florida",33763
3090.15,"P.O. Box 54570","Brandon","Texas",76628
2795.86,"827 NW Haven","Washington","District of Columbia",20330
2851.54,"9408 Furth Circle","Los Angeles","California",90003
2701.92,"544 Embers Mount","Odum","Georgia",31555
2204.1,"P.O. Box 85409","Garden Grove","California",92645
2840.48,"969 Thunder Bayoo","Jefferson City","Missouri",65102
2647.04,"761 Stony Beacon Dell","Atlanta","Georgia",30329
3172.05,"647 Amber Fifth Crest","La Crosse","Kansas",67548
2585.93,"6251 Ingle Ln.","New York City","New York",10022
2148.3,"563 Well Promenade","Buckhorn","New Mexico",88025
1667.4,"5677 Strong St.","Alton","Iowa",51003
1859.7,"410 Pony Drive","Des Moines","Iowa",50332
1476.6,"39 Easy Elk Causeway","Troy","Michigan",48085
1732,"5677 Strong St.","Hansboro","North Dakota",58339
1674.17,"7586 Pompton St.","Rock Valley","Iowa",51247
1500.98,"P.O. Box 87817","Clinchfield","Georgia",31013
2192.68,"39323 Spinnaker Dr.","New York City","New York",10022
1797.58,"692 S Vista","Nashua","Minnesota",56565
2142.35,"2304 Long Airport Avenue","New York City","New York",10022
2086.92,"P.O. Box 39472","Capron","Virginia",23829
6834.5,"278 Middle Orchard","Dryden","Virginia",24243
2541.59,"5677 Strong St.","New York City","New York",10022
2130.92,"467 Bright Summit","Colfax","Iowa",50054
1701.7,"7734 Strong St.","Fonda","Iowa",50553
1694,"617 Little Throughway","Phoenix","Arizona",85015
2913.53,"735 Blossom Oval","Fort Collins","Colorado",80523
935.18,"926 Iron Mill","Dumont","Colorado",80436
3073.26,"P.O. Box 72793","Trona","California",93562
2082.49,"274 Golden Barn","Atlanta","Georgia",30374
3394.23,"4 Colonial View Place","Tampa","Florida",33689
2559.6,"78934 Hillside Dr.","New York City","New York",10022
1490.16,"9408 Furth Circle","Callaway","Virginia",24067
3844,"843 Umber Willow Radial","Elgin","Texas",78621
4724.91,"694 Lost Common","Denver","Colorado",80235
1824.72,"487 Bright Pine Cove","Correctionville","Iowa",51016
2668.68,"3086 Ingle Ln.","Alton","Iowa",51003
2843.61,"25593 South Bay Ln.","New York City","New York",10022
3163.65,"946 Rocky Drive","Colorado Springs","Colorado",80928
2226.11,"P.O. Box 88531","Brandon","Florida",33510
2069.75,"P.O. Box 78758","Pineola","North Carolina",28662
2235.33,"3758 North Pendale Street","Rock Valley","Iowa",51247
3116.43,"7586 Pompton St.","New York City","New York",10022
4781.7,"367 Mall Bridge","Novi","Michigan",48375
2810.7,"342 Clear Perkins","Suffern","New York",10901
3515.67,"2440 Pompton St.","New York City","New York",10022
2909.34,"584 Hidden Canyon","Silver Point","Tennessee",38582
1570.17,"798 Misty Sixth Acres","Salem","Kentucky",42078
2613.92,"565 Merry Elm Orchard","Ringgold","Virginia",24586
3193.26,"7476 Moss Rd.","Fonda","Iowa",50553
1482.6,"P.O. Box 98348","Barneveld","Wisconsin",53507
2055.23,"897 Long Airport Avenue","Rock Valley","Iowa",51247
2674.9,"824 Branch Viaduct","Woodinville","Washington",98072
1853.4,"491 Colonial Valley","Newburg","West Virginia",26410
1490.1,"78934 Hillside Dr.","Hansboro","North Dakota",58339
2162.16,"7734 Strong St.","Ruston","Louisiana",71270
2814.28,"9408 Furth Circle","New York City","New York",10022
1605,"697 Lagoon Divide","Toledo","Ohio",43654
2093.44,"881 Grand Key","Climax","Georgia",39834
1944.3,"5557 North Pendale Street","New York City","New York",10022
1986.8,"882 Cider Driveway","Albany","Georgia",31707
1695.96,"429 High Freeway","Napa","California",94559
1281.56,"11328 Douglas Av.","Ruston","Louisiana",71270
1774.22,"7476 Moss Rd.","Hansboro","North Dakota",58339
1997.5,"25593 South Bay Ln.","Fonda","Iowa",50553
2353.2,"711 Amber Hill Throughway","Loomis","Washington",98827
981.2,"39323 Spinnaker Dr.","Ruston","Louisiana",71270
1550.72,"123 Pleasant Fifth","Sierra Vista","Arizona",85635
1771.06,"3758 North Pendale Street","Los Angeles","California",90003
2213.4,"7586 Pompton St.","Mountain Center","California",92561
5266.04,"897 Long Airport Avenue","Fonda","Iowa",50553
1864.8,"939 Tawny Curve","Dickinson","North Dakota",58601
1142.41,"9408 Furth Circle","Half Moon Bay","California",94019
1172.6,"383 Hidden Flat Ledge","Belleview","Florida",34420
6981,"402 Eighth Crossing","Licking","Missouri",65542
3064.6,"947 Tawny Crossing","Ripley","Tennessee",38063
2202.48,"110 Emerald Tunnel","Turner","Michigan",48765
3773.38,"772 Gentle Bear Path","Fresno","California",93726
5074.39,"P.O. Box 75236","Dundee","Kentucky",42338
6483.46,"295 Shady Farms","Springfield","Illinois",62703
7956.46,"720 Silver Throughway","Numa","Iowa",52575
4230.62,"2793 Furth Circle","New York City","New York",10022
7209.12,"7734 Strong St.","Alton","Iowa",51003
3452.68,"656 W Richmond","Medora","Indiana",47260
3047.73,"5677 Strong St.","Alton","Iowa",51003
3675.32,"265 Honey Sixth","Chicago","Illinois",60623
7492.4,"902 Foggy Expressway","New York City","New York",10038
9534.5,"P.O. Box 48408","Morris","Georgia",31767
5579.02,"337 Prairie Glen","Council Grove","Kansas",66846
5950.34,"358 Honey Butterfly","Santa Rosa","California",95407
3726,"866 Fallen Well","San Antonio","Texas",78202
4455,"469 Pleasant Cider","Madison","Wisconsin",53774
8272.34,"427 Stony Driveway","Avon","Minnesota",56310
3577.6,"719 Blossom Stead","Fresno","California",93714
3881.25,"5677 Strong St.","New York City","New York",10022
5797.44,"2304 Long Airport Avenue","New York City","New York",10022
1264.08,"163 Washington Trail","Lyons","Nebraska",68038
4815.3,"P.O. Box 22095","Inglewood","California",90303
4462.2,"556 Grove Lawn","Plymouth","Illinois",62367
3033.28,"78934 Hillside Dr.","Fonda","Iowa",50553
990.78,"908 Grand Stravenue","Durham","Kansas",67438
2030.86,"5677 Strong St.","Hansboro","North Dakota",58339
5433.75,"5677 Strong St.","Hansboro","North Dakota",58339
3157.44,"11328 Douglas Av.","Ruston","Louisiana",71270
5161.2,"919 Sunny Junction","Bearcreek","Montana",59007
4346.76,"683 Little Lagoon Drive","Westmoreland","New York",13490
3528.36,"391 Well Track","Warm Springs","Virginia",24484
3187.8,"760 Dusty Pond Route","Helena","Alabama",35080
6023.16,"25593 South Bay Ln.","Fonda","Iowa",50553
3884.76,"206 Park Harbor","Gonzales","Texas",78629
4965.84,"2304 Long Airport Avenue","Rock Valley","Iowa",51247
4169.88,"4092 Furth Circle","Hansboro","North Dakota",58339
4910.4,"516 Velvet Rise","Waverly","Illinois",62692
3231.36,"361 Furth Circle","Ruston","Louisiana",71270
6853.44,"139 Fifth Boulevard","Sulphur Springs","Ohio",44881
5177.04,"938 Mountain Dell","Santa Clara","California",95050
2824.8,"335 Berry Bank","Kewanee","Missouri",63860
4324.32,"8489 Strong St.","New York City","New York",10022
5052.96,"84 Hidden Hill","Wichita","Kansas",67207
3223.44,"652 Wishing Station","Frankenmuth","Michigan",48787
5278.68,"830 Little Barn","Bode","Iowa",50519
2851.2,"1785 First Street","New York City","New York",10022
1687.4,"11328 Douglas Av.","Fonda","Iowa",50553
1308,"130 Fifth Jetty","Riverton","Utah",84065
6144.6,"P.O. Box 17545","Mineral","Virginia",23117
5127.2,"559 Goose Pike","Leesville","Texas",78122
6386.16,"3086 Ingle Ln.","Fonda","Iowa",50553
7695.6,"729 Amber Cove","Mc Elhattan","Pennsylvania",17748
2242.89,"417 Wishing Passage","Elko","Georgia",31025
2539.89,"P.O. Box 72340","Cranberry","Pennsylvania",16319
2795.27,"P.O. Box 44792","Torrance","California",90502
5545.76,"237 Misty Berry","Saint George","Utah",84770
4285.46,"619 Nectar Ramp","Chinook","Washington",98614
3329.09,"5905 Pompton St.","New York City","New York",10022
5592.22,"846 Wishing Fawn","Greensboro","North Carolina",27416
3298.55,"782 First Street","Ruston","Louisiana",71270
2609.88,"687 Bright Richmond Vale","Lexington","Kentucky",40501
3336.29,"124 E Valley","Calvary","Georgia",39829
5510.05,"3675 Furth Circle","Alton","Iowa",51003
2504.4,"4658 Baden Av.","Hansboro","North Dakota",58339
3525.6,"283 Rocky Crest","Wheaton","Minnesota",56296
4407,"3086 Ingle Ln.","Fonda","Iowa",50553
2983.44,"586 Quiet End Throughway","Noble","Oklahoma",73068
5126.24,"622 Bright Club Lane","Kenna","New Mexico",88122
5713.79,"849 Cotton Maple","Gordon","Ohio",45329
4613.8,"223 Willow Approach","Quitman","Missouri",64478
3711.1,"5677 Strong St.","Ruston","Louisiana",71270
3524.73,"2304 Long Airport Avenue","Fonda","Iowa",50553
2795.27,"5557 North Pendale Street","Callaway","Virginia",24067
4814.4,"815 Heather Row","Highlands","Texas",77562
3572.33,"5677 Strong St.","Half Moon Bay","California",94019
4581.36,"7825 Douglas Av.","New York City","New York",10022
4319.76,"7734 Strong St.","New York City","New York",10022
1448,"384 Golden Rise Estate","Perrysburg","Ohio",43551
881.4,"422 Easy Glen","Lakeland","Florida",33802
2011.1,"736 Ford Tunnel","Norlina","North Carolina",27563
1801.24,"5557 North Pendale Street","New York City","New York",10022
3390.2,"234 Bluff Passage","Omaha","Nebraska",68175
1424,"354 Tawny Elk Freeway","El Paso","Texas",79942
1499.1,"608 Blue Fillmore Jetty","Memphis","Tennessee",38186
3358.08,"5905 Pompton St.","New York City","New York",10022
1504.16,"928 Dusty Stream","Nashua","Montana",59248
2655.12,"782 First Street","Callaway","Virginia",24067
1244.16,"275 Broad Dell","Urbana","Arkansas",71768
1888.88,"622 Cozy Extension","Kismet","Kansas",67859
1820.01,"3675 Furth Circle","Alton","Iowa",51003
2866.95,"4658 Baden Av.","New York City","New York",10022
1394.16,"232 W Creek","San Mateo","California",94409
2632.28,"3086 Ingle Ln.","Rock Valley","Iowa",51247
2018.56,"198 Common Oval","Crossville","Tennessee",38558
2954.53,"249 Ninth Bridge","South Hill","Virginia",23970
1871.83,"71 Cotton Island Pass","Camp Meeker","California",95419
1559.04,"P.O. Box 68088","Revloc","Pennsylvania",15948
1880.2,"5677 Strong St.","New York City","New York",10022
1224.67,"2304 Long Airport Avenue","New York City","New York",10022
2979.08,"904 N Rose Lawn","Phoenix","Arizona",85038
2208.64,"153 Sunny Main","Evansville","Indiana",47724
3458.42,"5677 Strong St.","Ruston","Louisiana",71270
1237.88,"7825 Douglas Av.","Half Moon Bay","California",94019
2723.2,"7734 Strong St.","Rock Valley","Iowa",51247
2218.52,"85 Tawny Shadow","Carbon Hill","Alabama",35549
1665.32,"532 Fort Radial","Ellisville","Mississippi",39437
3421.04,"823 Spring Narrow","Grundy","Virginia",24614
1878.66,"125 Common Edge","Yale","Iowa",50277
3853.6,"16780 Pompton St.","Hansboro","North Dakota",58339
3442.64,"4575 Hillside Dr.","New York City","New York",10022
3482.16,"40 W Way","Peach Creek","West Virginia",25639
3363.52,"977 Pioneer Corner","Auburn","California",95603
3350.52,"902 Barn Glade","Detroit","Michigan",48295
2862.72,"26 Red Bayoo","West Chicago","Illinois",60186
4036.04,"914 Deer Woods","Long Creek","Oregon",97856
2817.92,"6047 Douglas Av.","Hansboro","North Dakota",58339
4636.38,"361 Furth Circle","Los Angeles","California",90003
1553.58,"897 Long Airport Avenue","Callaway","Virginia",24067
2697.6,"700 Indian Club Narrow","Topinabee","Michigan",49791
3334.04,"863 Foggy Bear Harbor","El Paso","Texas",88518
2059.26,"988 Burning Landing","Seneca","Nebraska",69161
2023.14,"199 SW Gateway","Mishawaka","Indiana",46545
2586.64,"782 First Street","Half Moon Bay","California",94019
1987.02,"322 Honey Isle","Twentynine Palms","California",92278
1146.5,"836 Bluff Avenue","Whitesboro","Texas",76273
